"","UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","normGravel","normSand","normSilt","PC1","gravel","DownStreamTotal","APresence","DPresence"
"176","S10 50-7","S",10,2.82,5,"D",NA,-0.766666628663032,0.985770438402333,2.16281844810155,5.7498060467405,0.3361,57,0,1
"177","S10 50-7","S",10,2.82,5,"D",NA,-0.766666628663032,0.985770438402333,2.16281844810155,5.7498060467405,0.3361,57,0,1
"178","S10 50-7","S",10,2.82,5,"D",NA,-0.766666628663032,0.985770438402333,2.16281844810155,5.7498060467405,0.3361,57,0,1
"179","S10 50-7","S",10,2.82,5,"D",NA,-0.766666628663032,0.985770438402333,2.16281844810155,5.7498060467405,0.3361,57,0,1
"180","S10 50-7","S",10,2.82,10,"D",NA,-0.766666628663032,0.985770438402333,2.16281844810155,5.7498060467405,0.3361,57,0,1
"181","S10 50-7","S",10,2.82,15,"Z",NA,-0.766666628663032,0.985770438402333,2.16281844810155,5.7498060467405,0.3361,57,0,0
"182","N5 20-9","N",5,3.93,10,"D",NA,0.000992233937448647,0.110695145661047,-0.235076824696819,-0.393591854566171,0.7242,29,0,1
"183","N10 50-3","N",10,2.65,0,"D",NA,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,0,1
"184","N10 50-3","N",10,2.65,5,"D",NA,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,0,1
"185","N10 50-3","N",10,2.65,5,"D",NA,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,0,1
"186","N10 50-3","N",10,2.65,5,"D",NA,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,0,1
"187","N10 50-3","N",10,2.65,5,"D",NA,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,0,1
